"id","selected_option","questions_id"
1," deployed 5",1
2,"not deployed",2
3,"deployed",3
4,"not deployed",4
5,"not deployed",5
6,"not deployed",6
7,"not deployed",7
8,"not deployed",8
9,"not deployed",9
10,"not deployed",10
11,"not deployed",11
12,"not deployed",12
13,"not deployed",13
14,"not deployed",14
15,"not deployed",15
16,"not deployed",16
17,"not deployed",17
18,"not deployed",18
19,"not deployed",19
20,"not deployed",20
21,"not deployed",21
22,"not deployed",22
23,"deployed",23
24,"deployed",24
25,"deployed",25
26,"deployed",26
27,"not deployed",27
28,"not deployed",28
29,"not deployed",29
30,"not deployed",30
31,"not deployed",31
32,"not deployed",32
33,"not deployed",33
34,"not deployed",34
35,"not deployed",35
